is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257662500,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BLEIKSØY
false,false,244030746,,,,99,BLOCQ VAN KUFFELER
false,false,257077410,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,BLODSTRUPMOEN
false,false,257683700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BLØKALLEN
false,false,257558800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,BLOM
false,false,257010300,,,,70,BLUE MARINE
false,false,259653000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BLUEFIN
false,false,257777900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BLUES
false,false,259086000,7A1,TUG,SLEPEBÅT,52,BOA BALDER
false,false,259087000,7A1,TUG,SLEPEBÅT,52,BOA BRAGE
false,false,258396000,7A1,TUG,SLEPEBÅT,52,BOA FRIGG
false,false,259088000,7A1,TUG,SLEPEBÅT,52,BOA HEIMDAL
false,false,257745000,7A1,TUG,SLEPEBÅT,52,BOA ODIN
false,false,257783600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BOFFEN
false,false,257059340,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BOGASKJÆR
false,false,259154000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BOGASUND
false,false,257001560,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØGGEN
false,false,257456900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,BOGØY
false,false,259004880,,,,70,BOGOYFISK 1
false,false,257144700,5C,CAR FERRY,PASSASJERSKIP/FERGER: BIL,60,BOKNAFJORD
false,false,257774800,,,,99,BOLGEN
false,false,258102920,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,BØLGEN
false,false,257197500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BOLGTIND
false,false,257034780,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,60,BOLT
false,false,257180000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BØMMELBAS
false,false,259296000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BØMMELFJORD
false,false,257613800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØMMELVÅG
false,false,257633700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BONDØY
false,false,257508800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BORE CAT
false,false,257004950,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØRFJORD
false,false,257244500,7A1,TUG,SLEPEBÅT,52,BORG FIX
false,false,257094290,7A1,TUG,SLEPEBÅT,52,BORG PARAT
false,false,257132590,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØRGE EDNAR
false,false,258746000,3B,BULK CARRIER,BULKSKIP: VANLIG BULK,70,BORGENFJORD
false,false,258534410,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BORGSKJÆR
false,false,257563700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØRINGEN
false,false,257097570,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BØRØFJELL
false,false,257009310,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BØRØHOLMEN
false,false,257668900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BØRØSUND
false,false,258364500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BØRØY
false,false,1234567,,,,0,BOROYVARING 1
false,false,257129500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BORRIS
false,false,257101730,5I4,CATAMARAN PASSENGER,KATAMARAN PASSASJER,40,BØRTIND
false,false,257138500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BOSS
